,Count
Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,47
Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,53
Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,108
Disengage for a recklessly behaving road user,4
