,Count
"Discrepancy in planning. While AV merged into highway, a car aggressively cut in crossing solid white line",1
"Discrepancy in planning. When AV almost finished the right turn, a vehicle from the rear side still ran fast towards AV",1
"Discrepancy in planning. While throughlanes were fully blocked by traffic jam, AV was trying to diverge to the right lane but too close to other vehicles",1
