,Count
 innacurate road perception ,3
 inaccurate car detection,19
 innacurate path intent,1
 inaccurate path planning ,103
 inaccurate object detection,6
 inaccurate road lines perception,12
 inaccurate road perception,17
 construction area,13
 inaccurate decision making,18
 inaccurate traffic sign detection,5
 passing car on red light,1
 inaccurate traffic light detection,6
