,Count
Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,3
Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,88
Disengage for a hardware discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a hardware component of the self-driving system or a component of the base vehicle,4
Disengage for incorrect behavior prediction of other traffic participants,1
Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,74
