Month,Car,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)",TypeOfTrigger,Location,Cause
Unknown,4T1B21HK6KU514747,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due derbis on the road.  Root cause: precaution. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK6KU514747,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.  Root cause: trajectory calculation issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK6KU514747,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Highway,"Safety Driver disengaged autonomous mode as a precaution for keeping distance from vehicle parked on side. Root cause: precaution. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK6KU514747,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to issue with the test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK6KU514747,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.  Root cause: trajectory calculation issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to issue with the test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to issue with the test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to issue with the test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to issue with the test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.  Root cause: trajectory calculation issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK6KU514747,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK6KU514747,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to issue with catching up maneuver because of insufficient distance keeping from other vehicles. Root cause: object detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK6KU514747,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to issue with the test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,Test driver,Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,Test driver,Highway,"Safety Driver disengaged autonomous mode due to issue with catching up maneuver because of insufficient distance keeping from other vehicles. Root cause: object detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,Test driver,Freeway,"Safety Driver disengaged autonomous mode due to issue with the test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved."
Unknown,4T1B21HK3KU514477,No,Yes,Test driver,Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
