,Count
Prediction discrepancy. Late and illegal cut-in from other vehicle from adjacent lane.,1
Prediction discrepancy. Adjacent vehicle made illegal maneuver from left turn only lane.,2
Prediction discrepancy. Late cut-in from other vehicle from adjacent lane.,1
