Month,Car,TypeOfTrigger,Location,Cause
2021-12,3FA6P0RU8HR293837,Test Driver,Highway,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.
2022-01,3FA6P0RU7JR158970,Test Driver,Highway,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.
2022-05,3FA6P0RU1HR271131,Test Driver,Highway,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.
2022-06,3FA6P0RU1HR271131,Test Driver,Highway,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.
2022-06,3FA6P0RU8HR259624,Test Driver,Highway,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.
2022-07,3FA6P0RU8HR259624,Test Driver,Highway,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.
2022-09,3FA6P0RU8HR259624,Test Driver,Highway,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.
