Keyword,	Fault Tag,	Failure Category,	Occurrences
Unexpected road conditions,  Environment, ML/Design,19
Undesirable lane placement,  Recognition System, ML/Design,43
Unexpected braking,  Recognition System, ML/Design,62
Lane marker override,  Recognition System, ML/Design,34
Proximity to preceding vehicle,  Recognition System, ML/Design,47
Unexpected system behavior,  Software, System,15
Exception condition(Software bug), Software, System,85
Lane marker contact,  Recognition System, ML/Design,143
