Keyword,Fault Tag,Failure Category,Occurrences

a software discrepancy,	Software,	System,	3
unwanted maneuver, 	Planner,	ML/Design,	88
a hardware discrepancy,	Hardware,	System,	4
incorrect behavior prediction ,	Planner	,ML/Design,	1
a perception discrepancy,	Recognition System	,ML/Design,	74
