Keyword,Fault Tag,Failure Category,Occurrences
Software discrepancy, Software,  System, 50			
Perception discrepancy-failed object detection, Recognition System, ML/Design,  127			
Unwanted maneuver, Planner, ML/Design,  196			
Recklessly behaving road user, Environment, ML/Design,  4			
a hardware discrepancy, Hardware,  System, 4			
incorrect behavior prediction , Planner ,ML/Design, 1			
			
			
			
