Month,Car,TypeOfTrigger,Location,Cause
2022-09,3LN6L5MU1JR609431,Test Driver,Street,Disengage for a unwanted maneuver of the vehicle going into the construction zone (unwanted behavior for the planner failed to avoid the traffic cones).
2022-08,3LN6L5MU4JR611142,Test Driver,Street,Disengage for a unwanted maneuver of the vehicle going into the construction zone (unwanted behavior for the planner failed to avoid the traffic cones).
